snapshot_date,provider_id,provider_name,raw_model_name,canonical_model,model_family,tier,channel_type,unit,price_usd,source_url,captured_at,confidence,method,notes
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Instruct,,,,aggregator,per_1m_input_tokens,0.15,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623005+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Instruct,,,,aggregator,per_1m_output_tokens,1.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623010+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Instruct,,,,aggregator,per_1m_input_cache_read_tokens,0.15,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623015+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Thinking,,,,aggregator,per_1m_input_tokens,0.15,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623021+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Thinking,,,,aggregator,per_1m_output_tokens,1.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623026+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-Next-80B-A3B-Thinking,,,,aggregator,per_1m_input_cache_read_tokens,0.15,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623033+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-30B-A3B-Instruct-2507,,,,aggregator,per_1m_input_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623040+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-30B-A3B-Instruct-2507,,,,aggregator,per_1m_output_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623045+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-30B-A3B-Instruct-2507,,,,aggregator,per_1m_input_cache_read_tokens,0.08,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623050+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623056+00:00,high,json-api,
